Track,tr
Fuel,true,Tyre,false
Results posted 10 Dec 2023, 19:50
T Folger,5 Stellaron Hunter,8,1:38.551,+ 0:11.242,188.56,13
T Folger,5 Stellaron Hunter,9,1:38.554,+ 0:08.725,188.56,10
T Folger,5 Stellaron Hunter,10,1:38.384,+ 0:07.503,188.88,10
T Folger,5 Stellaron Hunter,11,1:37.210,+ 0:05.392,191.17,9
T Folger,5 Stellaron Hunter,12,1:38.025,+ 0:02.146,189.58,3
T Folger,5 Stellaron Hunter,13,1:38.049,+ 0:01.674,189.53,3
T Folger,5 Stellaron Hunter,14,1:38.739,-,188.21,1
T Folger,5 Stellaron Hunter,15,1:54.441,+ 0:11.197,162.38,14
T Folger,5 Stellaron Hunter,PIT,2.9 seconds / Soft tyres,,,
T Folger,5 Stellaron Hunter,16,1:40.815,+ 0:14.536,184.33,17
T Folger,5 Stellaron Hunter,17,1:38.370,+ 0:15.198,188.91,17
T Folger,5 Stellaron Hunter,18,1:38.165,+ 0:10.943,189.31,12
T Folger,5 Stellaron Hunter,19,1:37.414,+ 0:10.215,190.77,11
T Folger,5 Stellaron Hunter,20,1:37.368,+ 0:07.709,190.86,7
T Folger,5 Stellaron Hunter,21,1:37.596,+ 0:07.758,190.41,6
T Folger,5 Stellaron Hunter,22,1:37.770,-,190.07,1
T Folger,5 Stellaron Hunter,23,1:38.731,+ 0:01.185,188.22,3
T Folger,5 Stellaron Hunter,24,1:53.446,+ 0:17.199,163.81,18
T Folger,5 Stellaron Hunter,PIT,2.9 seconds / Soft tyres,,,
T Folger,5 Stellaron Hunter,25,1:38.029,+ 0:17.639,189.57,18
T Folger,5 Stellaron Hunter,26,1:36.882,+ 0:14.037,191.81,17
T Folger,5 Stellaron Hunter,27,1:36.653,+ 0:13.240,192.27,12
T Folger,5 Stellaron Hunter,28,1:36.698,+ 0:12.762,192.18,10
T Folger,5 Stellaron Hunter,29,1:36.214,+ 0:11.465,193.14,7
T Folger,5 Stellaron Hunter,30,1:36.172,-,193.23,1
T Folger,5 Stellaron Hunter,31,1:37.569,+ 0:00.711,190.46,2
T Folger,5 Stellaron Hunter,32,1:52.674,+ 0:16.144,164.93,16
T Folger,5 Stellaron Hunter,PIT,3 seconds / Soft tyres,,,
T Folger,5 Stellaron Hunter,33,1:39.315,+ 0:17.923,187.11,18
T Folger,5 Stellaron Hunter,34,1:36.768,+ 0:14.621,192.04,17
T Folger,5 Stellaron Hunter,35,1:36.428,+ 0:14.232,192.72,16
